Property_ID,Listing_Date,City,Locality,Property_Type,BHK,Built_Up_Area_sqft,Carpet_Area_sqft,Age_Years,Floor,Total_Floors,Bathrooms,Parking_Spaces,Furnishing_Status,Facing,Gated_Community,Distance_to_Metro_km,Distance_to_CBD_km,Nearby_Schools,Crime_Index,Amenities_Score,Monthly_Maintenance_INR,Seller_Type,Loan_Available,Annual_Property_Tax_INR,Price_Lakhs
PROP-10025,2025-04-13,Pune,Baner,Apartment,2,1288.9,958.1,9,8,20,2,1,Unfurnished,North,No,9.61,10.24,3,45.9,8.0,5850,Broker,Yes,29400,88.24
PROP-10026,2026-07-31,Bengaluru,Yelahanka,Apartment,1,756.1,521.5,4,6,32,1,1,SEMI-FURNISHED,West,Yes,12.45,18.72,7,39.4,7.8,2810,Owner,Yes,19300,74.92
PROP-10027,2026-07-20, Hyderabad,Kondapur,Apartment,3,1162.6,837.8,0,29,29,3,1,Semi-Furnished,West,Yes,1.52,6.88,11,64.0,9.2,4870,Builder,Yes,27600,129.16
PROP-10028,2025-11-08,Pune,Wakad,Apartment,2,1053.5,770.0,11,6,17,2,0,Unfurnished,South,No,3.82,14.75,2,36.5,6.4,5150,Broker,Yes,28300,59.32
PROP-10029,2026-08-23,Delhi NCR,Ghaziabad,Apartment,2,726.3,589.9,,Ground,2,2,3,Furnished,North-East,Yes,10.37,15.05,4,17.9,5.6,1900,Owner,Yes,20100,106.5
PROP-10030,2026-05-26,Bengaluru,Marathahalli,Apartment,3,873.5,728.9,3,26,26,4,0,Unfurnished,East,Yes,9.25,20.5,8,39.0,7.2,4410,Owner,Yes,31400,91.62
PROP-10031,2026-05-10,Chennai,Velachery,Apartment,2,957.7,734.8,45,5,16,2,1,Semi-Furnished,North,Yes,5.68,10.62,1,36.5,6.3,5040,Builder,Yes,25700,21.7
PROP-10032,2025-07-13,Bengaluru,Yelahanka,Apartment,4,2700.9,2256.7,7,17,33,3,1,Unfurnished,North-East,Yes,10.55,5.99,7,15.0,5.4,10620,Owner,Yes,82000,209.44
PROP-10033,2025-03-18,Hyderabad,Kukatpally,Apartment,3,1993.8,1608.9,13,21,25,3,1,Unfurnished,North-East,No,4.05,16.3,7,70.5,8.3,4090,Builder,Yes,82300,145.3
PROP-10034,2025-01-30,Chennai,OMR,Independent House,4,2130.8,1778.5,4,4,4,3,1,Unfurnished,South-East,no,6.77,25.1,6,,9.0,9510,Builder,Yes,51500,155.92
PROP-10035,2025-12-20,Chennai,Porur,Apartment,2,1057.1,848.6,17,1,12,2,1,Unfurnished,North-East,Yes,2.35,14.8,4,24.9,3.5,3840,Builder,Yes,20100,63.76
PROP-10036,2025-07-14,Chennai,Anna Nagar,Independent House,2,1510.5,1131.8,3,2nd,3,2,1,Semi-Furnished,South-East,No,5.06,28.67,11,36.2,1.4,4530,Broker,Yes,38400,105.13
PROP-10037,2025-12-13,Pune,Kharadi,Apartment,4,1993.6,1513.9,4,1,9,4,2,Unfurnished,South,No,7.05,8.82,8,67.8,3.8,5780,Broker,Yes,68500,136.03
PROP-10038,2025-08-15,Chennai,Velachery,Independent House,3,1571.8,1346.1,23,Ground,4,3,1,Semi-Furnished,South-East,No,3.58,12.98,10,,6.6,4430,Builder,No,47500,110.38
PROP-10039,2026-02-22,Pune,Baner,Independent House,2,963.0,818.9,11,Ground,4,1,1,Semi-Furnished,West,Yes,2.19,3.37,8,19.0,8.8,2450,Owner,Yes,26400,97.52
PROP-10040,2026-07-22,Hyderabad,Kukatpally,Independent House,4,2795.7,1951.1,5,Ground,3,4,1,Furnished,West,Yes,1.0,15.86,0,64.2,8.9,15270,Broker,Yes,106000,232.92
PROP-10041,2026-05-03,Hyderabad,Kondapur,Apartment,2,1061.6,885.9,9,8,9,2,2,Unfurnished,North,Yes,1.14,23.09,9,37.6,8.3,2320,Broker,Yes,38100,80.79
PROP-10042,2026-01-26,Bengaluru,Electronic City,Independent House,1,769.7,631.9,16,Ground,1,1,2,Semi-Furnished,North,Yes,1.83,15.81,1,38.6,6.7,1880,Owner,Yes,31900,81.1
PROP-10043,2025-04-06,Pune,Baner,Apartment,2,1074.9,857.6,5,6,14,2,2,Semi-Furnished,West,Yes,,7.49,5,34.1,5.5,2720,Broker,Yes,37500,95.65
PROP-10044,2026-03-16,Hyderabad,Gachibowli,Apartment,3,1280.7,946.9,14,27,28,2,3,Semi-Furnished,East,Yes,6.94,9.45,7,41.6,7.4,6350,Owner,Yes,40700,111.64
PROP-10045,2025-06-11,Delhi NCR,Ghaziabad,Apartment,3,2183.1,1810.5,12,4,12,3,2,Semi-Furnished,South,No,1.75,10.63,2,39.6,0.4,5070,Owner,Yes,70600,160.01
PROP-10046,2025-11-05,Pune,Hinjewadi,Independent House,2,727.9,593.8,12,3,4,2,1,Semi-Furnished,North,Yes,,21.58,9,57.5,4.2,1570,Owner,Yes,12200,55.75
PROP-10047,2025-06-25,Chennai,Porur,Apartment,2,849.4,597.4,9,11,15,1,1,Semi-Furnished,West,Yes,10.58,6.88,9,27.3,8.1,3600,Builder,Yes,33600,61.04
PROP-10048,2025-06-27,Delhi NCR,Gurugram,Apartment,2,808.7,613.3,6,7,22,2,2,,South-East,Yes,5.58,1.0,5,39.8,4.2,3440,Builder,Yes,21900,100.63
PROP-10049,2025-04-03,CHENNAI,OMR,Apartment,3,1082.8,884.4,9,20,21,3,1,Unfurnished,West,Yes,6.07,4.53,5,28.2,7.1,3880,Builder,Yes,20600,83.12
PROP-10050,2025-02-23,Pune,Hinjewadi,Apartment,4,2180.4,1738.5,5,3rd,4,4,3,Unfurnished,South-East,Yes,8.18,13.61,7,59.2,4.5,7140,Broker,Yes,73400,146.7
PROP-10051,2026-06-24,Pune,Hinjewadi,Apartment,3,1389.1,1157.6,13,5,10,2,1,Unfurnished,East,Yes,,4.93,2,10.8,4.5,4280,Owner,Yes,47900,92.86
PROP-10052,2025-06-19,Hyderabad,Madhapur,Apartment,2,852.3,724.9,3,2,5,1,1,Semi-Furnished,South-East,No,5.0,19.67,12,45.4,3.7,2160,Builder,Yes,28100,58.28
PROP-10053,2025-05-22,Hyderabad,Madhapur,Apartment,2,904.6,737.0,11,15,35,2,3,Semi-Furnished,South,Yes,13.8,6.91,7,45.4,3.8,3400,Owner,Yes,20600,91.57
PROP-10054,2025-05-30,Bengaluru,Whitefield,Villa,4,2346.0,1647.9,13,1st,2,4,2,Furnished,North,Yes,5.78,8.11,6,51.4,9.1,4920,Broker,Yes,93000,239.85
PROP-10055,2026-07-03,Bengaluru,Marathahalli,Villa,3,1466.1,998.3,33,Ground,2,4,3,Semi-Furnished,West,Yes,4.14,19.26,0,43.7,,6130,Builder,Yes,51900,135.24
PROP-10056,2025-04-17,Hyderabad,Kukatpally,Apartment,2,1036.4,811.2,14,2,24,3,1,Furnished,North-East,Yes,9.33,14.96,6,38.6,8.7,2130,Broker,Yes,36900,89.86
PROP-10057,2025-07-15,Chennai,Porur,Apartment,2,906.8,752.1,19,11,31,2,0,Semi-Furnished,West,Yes,6.55,25.32,0,36.5,8.8,3080,Broker,Yes,16400,58.25
PROP-10058,2026-04-02,Pune,Wakad,Apartment,2,1004.9,844.2,8,7,12,2,1,Semi-Furnished,East,No,0.2,13.09,9,35.6,7.0,3040,Builder,Yes,23200,90.33
PROP-10059,2026-08-04,Bengaluru,Marathahalli,Apartment,1,724.7,623.0,4,Ground,4,1,1,Furnished,South-East,YES ,11.09,16.14,10,42.8,6.7,1620,Broker,Yes,23300,74.31
PROP-10060,2026-04-08,Bengaluru,Marathahalli,Villa,4,2555.7,,0,Ground,1,4,1,Semi-Furnished,North-East,Yes,7.66,15.21,3,17.3,8.8,13310,Owner,Yes,116000,261.73
PROP-10061,2025-03-30,Chennai,OMR,Independent House,5,3798.9,3068.4,8,2,3,5,2,Semi-Furnished,North,No,5.43,8.53,7,62.1,6.1,12500,Broker,Yes,119200,257.24
PROP-10062,2026-06-16,Bengaluru,Marathahalli,Villa,4,2575.7,1785.6,20,1,3,5,1,,South,Yes,3.98,15.5,1,39.1,5.5,6610,Broker,Yes,123800,240.53
PROP-10063,2026-08-09,Delhi NCR,Dwarka,Apartment,5,11697.0,2280.3,20,9,11,6,1,Semi-Furnished,South-East,No,0.88,27.04,0,43.7,5.3,6230,Owner,Yes,108600,203.57
PROP-10064,2025-10-01,Pune,Wakad,Apartment,2,879.9,637.1,12,1,4,2,1,Unfurnished,South,Yes,1.65,11.25,5,16.5,8.2,2900,Owner,Yes,23600,79.51
PROP-10065,2026-05-22,Hyderabad,Gachibowli,Apartment,2,943.1,788.2,5,18,21,2,1,Unfurnished,North-East,Yes,7.61,7.84,1,59.9,6.4,5080,Builder,Yes,18100,80.61
PROP-10066,2025-12-14,Bengaluru,Whitefield,Independent House,2,814.3,683.1,7,Ground,4,3,1,Semi-Furnished,East,Yes,0.2,1.6,4,41.3,8.5,3370,Builder,Yes,25900,95.76
PROP-10067,2025-11-03,Bengaluru,Electronic City,Apartment,3,1465.0,1032.4,9,29,31,3,1,Semi-Furnished,East,No,3.42,19.86,9,41.1,4.0,4650,Broker,Yes,60500,130.09
PROP-10068,2026-04-28,Hyderabad,Kukatpally,Apartment,4,2237.1,1813.3,8,1,15,4,1,Semi-Furnished,West,Yes,,12.75,11,38.3,7.5,6930,Builder,Yes,62300,175.81
PROP-10069,2025-10-23,Chennai,OMR,Villa,4,898.2,688.1,0,1,2,4,1,Semi-Furnished,South-East,Yes,5.66,8.32,7,46.3,8.6,3550,,No,21700,118.01
PROP-10070,2026-08-24,Bengaluru,Yelahanka,Independent House,4,1773.1,1293.0,18,2,4,4,1,Unfurnished,South-East,Yes,8.24,22.58,11,31.3,5.9,6890,Broker,Yes,44600,154.83
PROP-10071,2025-08-26,Hyderabad,Manikonda,Apartment,2,1186.8,907.9,13,Ground,9,3,3,Unfurnished,South-East,No,7.51,7.98,3,42.5,,3560,Builder,Yes,39900,91.73
PROP-10072,2025-07-17,Delhi NCR,Noida,Apartment,4,1283.0,1088.1,24,11,12,4,2,Unfurnished,North-East,Yes,6.22,19.2,7,35.7,9.7,4780,Broker,Yes,42000,110.17
PROP-10073,2025-11-06,Bengaluru,Marathahalli,Apartment,3,1802.0,1321.1,10,2,13,3,2,Semi-Furnished,North,Yes,12.51,24.67,7,36.6,8.6,5250,Builder,Yes,87000,142.09
PROP-10074,2025-09-11,Bengaluru,Electronic City,Apartment,2,984.9,724.2,1,3,20,2,1,Unfurnished,South,Yes,6.98,1.0,5,55.4,5.0,3590,Owner,Yes,27000,97.05
PROP-10075,2025-03-01,Pune,Hinjewadi,Apartment,3,1147.6,803.6,23,12,33,4,1,Unfurnished,North-East,Yes,2.58,3.43,7,58.1,8.5,5540,Owner,Yes,30600,83.09
PROP-10076,2025-05-17,Hyderabad,Madhapur,Independent House,3,1338.2,1049.2,26,1st,1,3,1,Unfurnished,South-East,N,5.65,9.05,6,28.7,1.5,4440,Builder,No,52200,95.47
PROP-10077,2025-09-04,Bengaluru,Electronic City,Studio,1,602.2,515.6,,1,1,2,1,Semi-Furnished,South,Yes,3.29,18.13,11,42.4,6.7,2600,Owner,No,28000,54.41
PROP-10078,2026-07-25,Pune,Hinjewadi,Apartment,1,,507.1,0,8,9,1,1,Furnished,North-East,Yes,3.43,4.96,5,28.2,7.5,3640,Owner,Yes,15100,94.83
PROP-10079,2026-06-27,Delhi NCR,Noida,Apartment,2,544.0,,10,20,34,2,1,Unfurnished,South,No,0.2,15.76,4,47.6,4.8,1970,Builder,Yes,17100,57.71
PROP-10080,2026-05-06,Pune,Baner,Independent House,2,1177.3,954.1,11,Ground,1,2,2,Semi-Furnished,South-East,Yes,7.23,1.0,5,46.2,5.8,3230,Builder,Yes,38900,124.93
PROP-10081,2025-09-25,Chennai,Velachery,Apartment,2,982.9,750.9,15,8,20,2,1,Semi-Furnished,North,No,3.84,1.82,5,55.2,4.7,3390,Owner,Yes,20300,59.7
PROP-10082,2025-02-19,Bengaluru,Electronic City,Apartment,2,898.1,745.4,0,15,17,2,1,Semi-Furnished,East,Yes,4.82,12.0,8,23.8,10,79838,Broker,Yes,39900,101.68
PROP-10083,2025-04-09,Bengaluru,Electronic City,Apartment,2,1090.7,753.6,,31,31,1,0,Semi-Furnished,North,Yes,4.09,4.96,4,71.1,7.6,4750,Broker,No,26500,80.67
PROP-10084,2025-04-08,HYDERABAD,Madhapur,Apartment,2,1312.4,980.6,0,9,15,1,2,Furnished,North,Yes,7.17,7.06,0,56.0,5.2,3000,Broker,Yes,34100,95.13
PROP-10085,2026-01-29,Delhi NCR,Noida,Apartment,4,,1750.0,33,2nd,35,4,0,Unfurnished,South,No,4.03,6.64,1,35.7,8.2,10130,Broker,Yes,88200,180.59
PROP-10086,2025-10-02,Chennai,Tambaram,Villa,3,2192.1,1529.2,9,2nd,4,3,2,Semi-Furnished,South,Yes,6.1,20.44,10,,5.5,10310,Builder,Yes,41600,176.55
PROP-10087,2025-03-28,Chennai,Velachery,Villa,3,1572.3,1156.4,10,Ground,3,3,0,Semi-Furnished,North-East,Yes,4.16,14.38,5,21.7,6.3,7460,Broker,Yes,42200,108.05
PROP-10088,2025-12-04,Hyderabad,Manikonda,Apartment,2,833.3,,38,13,18,2,1,Unfurnished,East,No,8.45,12.01,9,23.6,6.0,2560,Broker,Yes,27400,33.86
PROP-10089,2026-04-18,Bengaluru,Yelahanka,Apartment,2,1169.7,861.5,7,9,21,2,3,Semi-Furnished,East,Yes,6.14,7.11,1,51.7,6.6,6420,Builder,Yes,25700,124.45
PROP-10090,2025-03-29,Delhi NCR,Gurugram,Independent House,4,2885.3,2174.5,0,2,2,4,0,Furnished,West,Yes,4.82,1.0,11,34.2,6.7,15550,Owner,Yes,104200,248.77
PROP-10091,2025-01-26,hyderabad,Madhapur,Apartment,3,1179.7,939.5,5,13,22,2,0,Unfurnished,North-East,No,0.2,9.69,3,27.0,6.4,5550,Owner,Yes,31000,98.55
PROP-10092,2026-04-19,Hyderabad,Kondapur,Apartment,2,1458.1,1197.4,2,10,29,1,1,Furnished,North,Yes,4.4,11.64,12,48.4,10,4160,Builder,Yes,45800,142.74
PROP-10093,2025-11-17,Bengaluru,Electronic City,Apartment,3,1188.5,997.1,17,12,28,2,2,Unfurnished,South-East,No,6.21,14.74,8,47.5,7.3,4280,Builder,Yes,43000,87.63
PROP-10094,2025-06-27,Bengaluru,Marathahalli,Apartment,4,1861.0,1502.0,6,5,9,3,1,Unfurnished,East,Yes,9.16,6.23,2,40.9,5.3,6890,Owner,No,88600,152.2
PROP-10095,2026-07-05,Bengaluru,Electronic City,Apartment,4,1619.7,1378.9,0,13,13,4,3,Semi-Furnished,West,Yes,0.2,14.07,7,35.4,7.3,3410,Broker,Yes,47000,176.54
PROP-10096,2026-08-26,Chennai,Anna Nagar,Apartment,2,810.5,567.8,11,3,3,2,0,Furnished,South,yes,0.2,21.15,5,41.9,7.8,4080,Builder,Yes,17900,75.6
PROP-10097,2025-10-11,Delhi NCR,Ghaziabad,Apartment,2,1132.4,812.2,36,17,35,3,1,Unfurnished,South-East,Yes,,5.88,8,66.0,6.9,2640,Broker,Yes,50800,86.32
PROP-10098,2026-01-02,Hyderabad,Madhapur,Independent House,3,1950.3,1563.6,0,3,4,2,1,Semi-Furnished,South-East,No,5.09,1.83,5,70.7,2.2,9680,Builder,No,64800,142.06
PROP-10099,2025-05-16,Chennai,Anna Nagar,Apartment,2,1085.5,900.0,15,9,9,2,2,Furnished,North,Yes,0.39,4.01,0,64.4,10.0,3850,Builder,No,23800,101.95
PROP-10100,2025-05-16,Delhi NCR,Gurugram,Apartment,2,1414.7,,13,7,20,2,2,,North,Yes,3.67,21.79,8,52.1,7.1,6270,Broker,No,44600,103.45
PROP-10101,2025-05-24,Hyderabad,Gachibowli,Villa,3,1326.9,935.0,24,2,2,3,0,Semi-Furnished,North-East,Yes,0.2,17.62,10,41.6,2.7,5510,Owner,Yes,52400,92.41
PROP-10102,2025-01-13,Delhi NCR,Dwarka,Villa,3,1403.5,1117.2,9,Ground,3,3,1,Semi-Furnished,South,No,9.27,12.84,12,47.1,7.9,3360,Owner,Yes,48200,143.16
PROP-10103,2025-06-06,Delhi NCR,Noida,Apartment,4,1762.4,1253.2,,Ground,5,5,0,Unfurnished,North,No,7.95,11.27,4,29.0,,6090,Owner,Yes,60900,127.43
PROP-10104,2025-09-23,Hyderabad,Kondapur,Apartment,2,1260.3,1000.9,38,1st,16,2,0,Semi-Furnished,North,Yes,0.5,12.9,1,15.7,8.3,2570,Owner,Yes,38300,59.09
PROP-10105,2025-01-13,Hyderabad,Madhapur,Villa,3,1753.8,1328.1,5,Ground,3,3,1,Semi-Furnished,West,No,5.76,17.05,12,58.7,7.3,7940,Builder,Yes,33400,147.03
PROP-10106,2026-07-21,Hyderabad,Gachibowli,Apartment,4,2268.7,1845.2,3,8,21,3,1,Unfurnished,South-East,No,,18.93,0,68.1,6.4,8230,Builder,Yes,58700,149.48
PROP-10107,2025-11-11,Bengaluru,HSR Layout,Apartment,2,898.6,706.8,3,11,13,3,2,Unfurnished,North,No,8.87,14.81,10,59.5,2.2,4790,Builder,Yes,40700,69.36
PROP-10108,2025-12-01,Bengaluru,Whitefield,Studio,1,633.9,447.3,9,2,4,1,1,Semi-Furnished,South-East,No,5.77,21.58,6,51.4,5.1,1920,Broker,No,20500,35.76
PROP-10109,2025-04-04,Hyderabad,Gachibowli,Independent House,2,1061.5,742.0,5,3rd,3,2,3,Unfurnished,East,Yes,5.66,11.06,12,30.3,3.8,4710,Builder,Yes,27500,106.37
PROP-10110,2025-07-22,Hyderabad,Madhapur,Apartment,5,2893.0,1983.4,2,3,16,5,1,Unfurnished,South,Yes,6.85,16.52,10,28.2,8.0,11720,Broker,Yes,121300,210.73
PROP-10111,2026-07-18,Bengaluru,Electronic City,Apartment,4,,1931.3,43,26,28,4,1,Semi-Furnished,West,Yes,5.27,17.9,4,33.4,7.6,9430,Owner,Yes,80400,140.0
PROP-10112,2025-08-27,Bengaluru,Yelahanka,Apartment,5,3277.9,2549.8,17,31,31,5,2,,West,Yes,,22.81,0,45.5,10.0,7230,Broker,Yes,140800,248.06
PROP-10113,2026-05-20,Hyderabad,Kondapur,Apartment,4,2316.6,,8,11,25,4,1,Semi-Furnished,South-East,Yes,5.48,12.64,11,29.6,9.3,5790,Broker,Yes,86800,176.93
PROP-10114,2025-05-20,Hyderabad,Manikonda,Apartment,3,1619.3,1101.3,14,12,12,3,0,,South-East,No,3.71,15.57,5,11.4,7.6,8580,Owner,Yes,40900,121.23
PROP-10115,2025-08-15,Chennai,Anna Nagar,Villa,5,2802.2,2394.1,5,1,3,5,1,Semi-Furnished,East,Yes,3.73,1.0,9,5,10,15070,Builder,Yes,107900,279.04
PROP-10116,2026-07-14,Bengaluru,Whitefield,Apartment,5,3384.7,2403.9,12,14,22,4,1,Unfurnished,North,Yes,3.86,16.08,0,17.1,4.8,18250,Broker,Yes,108200,256.47
PROP-10117,2026-03-21,Chennai,Tambaram,Apartment,3,1607.0,1337.4,12,8,21,2,0,Unfurnished,West,Yes,11.81,21.08,1,17.6,10,8240,Owner,Yes,52000,115.26
PROP-10118,2026-05-16,Hyderabad,Manikonda,Villa,4,2359.6,1717.2,43,1st,4,3,1,Unfurnished,South-East,Yes,7.18,10.36,3,42.9,,5400,Broker,Yes,65000,161.66
PROP-10119,2026-07-03,Hyderabad,Manikonda,Apartment,2,960.7,661.0,12,7,17,2,1,Unfurnished,South-East,Yes,7.4,16.8,8,18.9,8.9,2690,Builder,Yes,29300,94.54
PROP-10120,2025-03-10,Hyderabad,Madhapur,Apartment,4,1999.0,1616.3,0,1,10,4,1,Furnished,South,No,4.71,18.66,10,54.0,0,8390,Broker,Yes,79700,159.89
PROP-10121,2026-01-28,Pune,Hadapsar,Apartment,2,678.9,557.8,13,26,34,1,1,Unfurnished,North-East,Yes,6.28,12.79,1,35.2,6.8,2040,,Yes,17400,46.97
PROP-10122,2025-10-03,Hyderabad,Kukatpally,Apartment,3,1411.9,1136.4,25,1,16,3,2,Unfurnished,East,Yes,6.47,21.12,10,15.6,10,3490,Broker,Yes,53400,115.18
PROP-10123,2026-01-05,Pune,Hinjewadi,Apartment,2,1189.2,971.3,0,4,4,2,0,Semi-Furnished,West,Yes,8.83,1.92,0,57.0,10,3210,Builder,Yes,21000,90.36
PROP-10124,2025-01-21,Bengaluru,Whitefield,Villa,3,2063.8,1584.9,0,2nd,3,3,2,Semi-Furnished,East,Yes,7.59,26.56,12,51.6,10,8800,Owner,Yes,67800,201.72
PROP-10125,2026-01-19,Delhi NCR,Gurugram,Apartment,2,1207.6,869.8,22,20,20,2,1,Semi-Furnished,East,Yes,5.36,19.32,8,49.2,5.4,2850,Owner,Yes,51700,65.63
PROP-10126,2026-02-19,PUNE,Baner,Apartment,5,2755.4,2191.4,13,6,20,5,1,Unfurnished,North,No,2.84,16.56,10,21.5,5.2,5760,Owner,Yes,100800,191.64
PROP-10127,2026-03-07,Hyderabad,Manikonda,Independent House,2,984.3,782.5,0,2,3,3,1,Unfurnished,South,No,4.14,4.65,2,74.4,,4220,Builder,Yes,38300,95.43
PROP-10128,2025-12-07,Bengaluru,Whitefield,Apartment,4,2468.4,1937.8,12,7,33,4,1,Semi-Furnished,South,Yes,4.37,15.71,9,57.6,10,6170,Broker,Yes,58100,176.81
PROP-10129,2025-08-20,Hyderabad,Gachibowli,Apartment,2,1058.1,865.1,4,1,6,2,1,Furnished,West,Yes,0.2,11.11,0,62.9,5.1,4080,Builder,Yes,37700,90.87
PROP-10130,2025-01-23,Bengaluru,Yelahanka,Apartment,1,701.0,482.4,17,21,34,1,2,Furnished,East,No,3.64,1.86,2,43.6,9.9,2390,Builder,Yes,17500,76.71
PROP-10131,2025-05-21,Hyderabad,Madhapur,Villa,4,1799.1,1473.1,17,Ground,1,3,0,Unfurnished,West,Yes,1.22,11.18,2,48.7,10,3660,Owner,Yes,54800,174.66
PROP-10132,2025-04-03,Pune,Wakad,Apartment,2,915.4,655.2,11,5,13,2,1,Unfurnished,West,No,7.25,10.47,3,25.0,8.7,4740,Broker,Yes,18200,75.97
PROP-10133,2025-07-07,Hyderabad,Gachibowli,Independent House,3,810.5,589.7,30,1,1,3,1,Unfurnished,North,yes,7.87,21.22,5,31.3,8.9,3390,Broker,Yes,30400,41.73
PROP-10134,2026-03-28,Delhi NCR,Faridabad,Villa,4,2456.5,2022.8,30,1,1,4,2,Semi-Furnished,South,Yes,8.12,15.25,10,20.4,,12580,Owner,Yes,108100,202.79
