Member_number,Date,itemDescription,
1.6651E+12,2/26/2012,oil,
1.65811E+12,8/25/2012,frankfurter,
1.64801E+12,8/25/2013,frankfurter,
1.63612E+12,9/7/2011,whole milk,
1.60202E+12,5/31/2014,sugar,
1.67907E+12,11/6/2012,butter milk,
1.61605E+12,12/1/2010,detergent,
1.66806E+12,7/6/2010,hamburger meat,
1.60607E+12,5/26/2011,bottled water,
1.66504E+12,4/12/2011,pasta,
1.68401E+12,5/12/2014,other vegetables,
1.65905E+12,9/30/2012,chocolate,
1.65509E+12,3/16/2013,sausage,
1.67705E+12,5/28/2013,white bread,
1.66407E+12,11/13/2014,rolls/buns,
1.68212E+12,11/21/2011,grapes,
1.61201E+12,9/7/2013,yogurt,
1.64606E+12,11/25/2011,root vegetables,
1.6251E+12,10/6/2011,beverages,
1.60112E+12,7/21/2014,bottled beer,
1.68002E+12,1/22/2010,coffee,
1.63602E+12,2/21/2010,popcorn,
1.68208E+12,2/7/2011,whole milk,
1.62705E+12,8/16/2014,soda,
1.62609E+12,7/20/2010,tropical fruit,
1.62609E+12,2/12/2014,snack products,
1.66105E+12,6/10/2013,beef,
1.68408E+12,12/26/2014,flower soil/fertilizer,
1.69201E+12,1/30/2011,whole milk,
1.61011E+12,11/28/2010,frankfurter,
1.68308E+12,10/12/2014,tropical fruit,
1.61201E+12,9/7/2013,canned beer,
1.61311E+12,8/11/2014,finished products,
1.64303E+12,11/19/2011,beverages,
1.66901E+12,9/18/2011,hamburger meat,
1.60703E+12,4/1/2011,whole milk,
1.64906E+12,7/13/2013,finished products,
1.61103E+12,12/3/2012,other vegetables,
1.6121E+12,12/14/2010,ham,
1.6081E+12,2/15/2011,white bread,
1.64511E+12,10/18/2013,other vegetables,
1.67402E+12,4/12/2010,curd,
1.60604E+12,8/19/2010,popcorn,
1.69201E+12,7/26/2011,bottled beer,
1.61201E+12,9/7/2013,curd,
1.68908E+12,4/10/2013,waffles,
1.69201E+12,1/30/2011,whole milk,
1.64805E+12,4/14/2010,whole milk,
1.61201E+12,1/19/2011,dessert,
1.67909E+12,2/19/2013,sausage,
1.68102E+12,5/31/2013,other vegetables,
1.60012E+12,8/26/2012,shopping bags,
1.60604E+12,8/19/2010,ham,
1.61202E+12,2/11/2014,other vegetables,
1.64809E+12,4/6/2012,other vegetables,
1.68403E+12,2/13/2013,soda,
1.64708E+12,11/11/2010,herbs,
